method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,800,600,0.1,0,0,32,1.552,0.842
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1000,600,0.1,0,0,27,1.636,0.897
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1200,600,0.1,0,0,23,1.845,0.901
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,200,600,0.1,0,0,19,0.398,0.247
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,400,600,0.1,0,0,18,0.674,0.374
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,600,600,0.1,0,0,18,0.849,0.450
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,800,600,0.1,0,0,17,1.001,0.533
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1000,600,0.1,0,0,17,1.294,0.656
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1200,600,0.1,0,0,17,1.433,0.674
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,200,600,0.1,0,0,11,0.505,0.236
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,400,600,0.1,0,0,8,0.656,0.310
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,600,600,0.1,0,0,9,0.961,0.406
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,800,600,0.1,0,0,8,1.146,0.465
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1000,600,0.1,0,0,9,1.875,0.541
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1200,600,0.1,0,0,10,1.440,0.550
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,200,600,0.1,0,0,7,0.302,0.145
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,400,600,0.1,0,0,8,0.571,0.238
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,600,600,0.1,0,0,10,0.853,0.314
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,800,600,0.1,0,0,9,1.107,0.402
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1000,600,0.1,0,0,9,1.272,0.450
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1200,600,0.1,0,0,9,1.519,0.505
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,200,600,0.1,0,0,1,0.177,0.096
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,400,600,0.1,0,0,1,0.321,0.122
