method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,200,600,0.05,0,0,12,0.125,0.077
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,400,600,0.05,0,0,11,0.209,0.105
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,600,600,0.05,0,0,10,0.317,0.154
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,800,600,0.05,0,0,1,0.167,0.078
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1000,600,0.05,0,0,1,0.173,0.080
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1200,600,0.05,0,0,1,0.209,0.082
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,200,600,0.05,0,0,1,0.046,0.030
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,400,600,0.05,0,0,1,0.074,0.038
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,600,600,0.05,0,0,1,0.114,0.051
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,800,600,0.05,0,0,1,0.138,0.066
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1000,600,0.05,0,0,1,0.184,0.085
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1200,600,0.05,0,0,1,0.199,0.083
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,200,600,0.05,0,0,12,0.102,0.063
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,400,600,0.05,0,0,1,0.085,0.038
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,600,600,0.05,0,0,1,0.111,0.054
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,800,600,0.05,0,0,1,0.136,0.066
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1000,600,0.05,0,0,1,0.173,0.079
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1200,600,0.05,0,0,1,0.182,0.082
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,200,600,0.05,0,0,12,0.110,0.065
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,400,600,0.05,0,0,11,0.247,0.115
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,600,600,0.05,0,0,10,0.328,0.144
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,800,600,0.05,0,0,10,0.441,0.195
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1000,600,0.05,0,0,9,0.497,0.201
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1200,600,0.05,0,0,9,0.531,0.212
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,200,600,0.05,0,0,7,0.185,0.087
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,400,600,0.05,0,0,8,0.382,0.151
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,600,600,0.05,0,0,8,0.532,0.172
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,800,600,0.05,0,0,8,0.760,0.209
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1000,600,0.05,0,0,1,0.578,0.168
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1200,600,0.05,0,0,1,0.447,0.136
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,200,600,0.05,0,0,20,0.361,0.154
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,400,600,0.05,0,0,9,0.452,0.156
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,600,600,0.05,0,0,9,0.502,0.175
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,800,600,0.05,0,0,10,0.664,0.220
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1000,600,0.05,0,0,10,0.839,0.249
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1200,600,0.05,0,0,10,0.914,0.274
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,200,600,0.05,0,0,1,0.069,0.029
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,400,600,0.05,0,0,1,0.122,0.048
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,600,600,0.05,0,0,1,0.175,0.065
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,800,600,0.05,0,0,1,0.240,0.082
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1000,600,0.05,0,0,1,0.304,0.101
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1200,600,0.05,0,0,1,0.345,0.107
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,200,600,0.05,0,0,10,0.160,0.076
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,400,600,0.05,0,0,9,0.334,0.126
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,600,600,0.05,0,0,8,0.425,0.160
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,800,600,0.05,0,0,1,0.325,0.103
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1000,600,0.05,0,0,1,0.388,0.125
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1200,600,0.05,0,0,1,0.413,0.129
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.05,0,0,9,0.161,0.077
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.05,0,0,9,0.314,0.124
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.05,0,0,7,0.423,0.160
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.05,0,0,1,0.273,0.098
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.05,0,0,1,0.362,0.112
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.05,0,0,1,0.626,0.145
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,200,600,0.05,0,0,1,0.084,0.067
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,400,600,0.05,0,0,1,0.112,0.069
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,600,600,0.05,0,0,1,0.152,0.077
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,800,600,0.05,0,0,1,0.199,0.105
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1000,600,0.05,0,0,1,0.187,0.080
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1200,600,0.05,0,0,1,0.154,0.085
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.05,0,0,0,0.025,0.016
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.05,0,0,0,0.043,0.023
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.05,0,0,0,0.063,0.034
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.05,0,0,0,0.109,0.051
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.05,0,0,0,0.108,0.053
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.05,0,0,0,0.116,0.063
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,200,600,0.05,0,0,10,0.140,0.082
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,400,600,0.05,0,0,10,0.256,0.131
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,600,600,0.05,0,0,9,0.384,0.170
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,800,600,0.05,0,0,1,0.226,0.101
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1000,600,0.05,0,0,1,0.256,0.111
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1200,600,0.05,0,0,1,0.261,0.116
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,200,600,0.05,0,0,11,0.117,0.073
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,400,600,0.05,0,0,11,0.252,0.132
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,600,600,0.05,0,0,11,0.403,0.187
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,800,600,0.05,0,0,10,0.447,0.216
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1000,600,0.05,0,0,10,0.543,0.252
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1200,600,0.05,0,0,10,0.619,0.269
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,200,600,0.05,0,0,9,0.126,0.072
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,400,600,0.05,0,0,8,0.215,0.105
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,600,600,0.05,0,0,1,0.154,0.065
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,800,600,0.05,0,0,1,0.196,0.088
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1000,600,0.05,0,0,1,0.247,0.101
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1200,600,0.05,0,0,1,0.297,0.118
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,200,600,0.05,0,0,10,0.131,0.079
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,400,600,0.05,0,0,11,0.239,0.126
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,600,600,0.05,0,0,1,0.148,0.068
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,800,600,0.05,0,0,1,0.198,0.083
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1000,600,0.05,0,0,1,0.268,0.106
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1200,600,0.05,0,0,1,0.277,0.115
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,200,600,0.05,0,0,13,0.145,0.084
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,400,600,0.05,0,0,12,0.276,0.137
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,600,600,0.05,0,0,11,0.386,0.172
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,800,600,0.05,0,0,11,0.513,0.232
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1000,600,0.05,0,0,10,0.731,0.274
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1200,600,0.05,0,0,10,0.874,0.309
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,200,600,0.05,0,0,9,0.299,0.124
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,400,600,0.05,0,0,11,0.546,0.172
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,600,600,0.05,0,0,7,0.698,0.190
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,800,600,0.05,0,0,1,0.545,0.124
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1000,600,0.05,0,0,1,0.554,0.161
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1200,600,0.05,0,0,1,0.666,0.184
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,200,600,0.05,0,0,13,0.258,0.106
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,400,600,0.05,0,0,12,0.451,0.165
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,600,600,0.05,0,0,12,0.683,0.229
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,800,600,0.05,0,0,10,0.922,0.266
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1000,600,0.05,0,0,1,0.494,0.144
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1200,600,0.05,0,0,1,0.554,0.155
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,200,600,0.05,0,0,1,0.095,0.034
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,400,600,0.05,0,0,1,0.205,0.063
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,600,600,0.05,0,0,1,0.207,0.074
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,800,600,0.05,0,0,1,0.310,0.101
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,1000,600,0.05,0,0,1,0.349,0.109
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,1200,600,0.05,0,0,1,0.373,0.125
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,200,600,0.05,0,0,11,0.207,0.094
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,400,600,0.05,0,0,12,0.344,0.146
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,600,600,0.05,0,0,1,0.219,0.079
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,800,600,0.05,0,0,1,0.290,0.102
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,1000,600,0.05,0,0,1,0.401,0.126
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,1200,600,0.05,0,0,1,0.420,0.149
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.05,0,0,7,0.175,0.081
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.05,0,0,8,0.308,0.131
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.05,0,0,10,0.467,0.179
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.05,0,0,1,0.312,0.104
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.05,0,0,6,0.704,0.256
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.05,0,0,1,0.442,0.137
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,200,600,0.05,0,0,1,0.054,0.043
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,400,600,0.05,0,0,1,0.091,0.061
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,600,600,0.05,0,0,1,0.120,0.065
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,800,600,0.05,0,0,1,0.154,0.078
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,1000,600,0.05,0,0,1,0.176,0.096
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,1200,600,0.05,0,0,1,0.202,0.093
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.05,0,0,0,0.035,0.021
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.05,0,0,0,0.066,0.036
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.05,0,0,0,0.092,0.048
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.05,0,0,0,0.129,0.066
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.05,0,0,0,0.139,0.074
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.05,0,0,0,0.140,0.068
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,200,600,0.05,0,0,11,0.159,0.093
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,400,600,0.05,0,0,12,0.278,0.138
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,600,600,0.05,0,0,9,0.390,0.213
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,800,600,0.05,0,0,12,0.589,0.291
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,1000,600,0.05,0,0,1,0.275,0.120
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,1200,600,0.05,0,0,1,0.294,0.115
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,200,600,0.05,0,0,11,0.152,0.091
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,400,600,0.05,0,0,10,0.321,0.176
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,600,600,0.05,0,0,10,0.439,0.227
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,800,600,0.05,0,0,1,0.235,0.092
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,1000,600,0.05,0,0,1,0.249,0.106
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,1200,600,0.05,0,0,1,0.254,0.110
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,200,600,0.05,0,0,10,0.137,0.083
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,400,600,0.05,0,0,12,0.263,0.142
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,600,600,0.05,0,0,11,0.376,0.181
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,800,600,0.05,0,0,9,0.529,0.245
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,1000,600,0.05,0,0,10,0.765,0.358
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,1200,600,0.05,0,0,10,0.821,0.365
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,200,600,0.05,0,0,10,0.184,0.102
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,400,600,0.05,0,0,5,0.221,0.103
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,600,600,0.05,0,0,1,0.171,0.079
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,800,600,0.05,0,0,1,0.208,0.098
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,1000,600,0.05,0,0,1,0.262,0.118
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,1200,600,0.05,0,0,1,0.325,0.115
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,200,600,0.05,0,0,15,0.181,0.109
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,400,600,0.05,0,0,14,0.334,0.163
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,600,600,0.05,0,0,14,0.479,0.220
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,800,600,0.05,0,0,12,0.513,0.245
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,1000,600,0.05,0,0,11,0.654,0.287
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,1200,600,0.05,0,0,11,0.792,0.317
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,200,600,0.05,0,0,8,0.240,0.108
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,400,600,0.05,0,0,6,0.403,0.183
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,600,600,0.05,0,0,8,0.633,0.273
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,800,600,0.05,0,0,1,0.493,0.179
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,1000,600,0.05,0,0,1,0.516,0.172
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,1200,600,0.05,0,0,1,0.597,0.182
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,200,600,0.05,0,0,9,0.245,0.126
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,400,600,0.05,0,0,10,0.414,0.180
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,600,600,0.05,0,0,5,0.478,0.171
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,800,600,0.05,0,0,1,0.368,0.124
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,1000,600,0.05,0,0,1,0.517,0.145
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,1200,600,0.05,0,0,1,0.556,0.141
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,200,600,0.05,0,0,1,0.093,0.041
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,400,600,0.05,0,0,1,0.179,0.065
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,600,600,0.05,0,0,1,0.266,0.097
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,800,600,0.05,0,0,1,0.315,0.116
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,1000,600,0.05,0,0,1,0.434,0.130
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,1200,600,0.05,0,0,1,0.466,0.129
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,200,600,0.05,0,0,8,0.273,0.139
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,400,600,0.05,0,0,1,0.257,0.100
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,600,600,0.05,0,0,1,0.397,0.130
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,800,600,0.05,0,0,1,0.454,0.145
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,1000,600,0.05,0,0,1,0.633,0.202
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,1200,600,0.05,0,0,1,0.553,0.170
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.05,0,0,9,0.262,0.122
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.05,0,0,1,0.254,0.106
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.05,0,0,1,0.256,0.096
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.05,0,0,1,0.387,0.139
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.05,0,0,1,0.494,0.156
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.05,0,0,1,0.510,0.163
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,200,600,0.05,0,0,1,0.058,0.046
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,400,600,0.05,0,0,1,0.090,0.055
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,600,600,0.05,0,0,1,0.139,0.077
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,800,600,0.05,0,0,1,0.167,0.090
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,1000,600,0.05,0,0,1,0.198,0.105
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,1200,600,0.05,0,0,1,0.212,0.113
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.05,0,0,0,0.044,0.028
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.05,0,0,0,0.071,0.042
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.05,0,0,0,0.107,0.054
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.05,0,0,0,0.139,0.073
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.05,0,0,0,0.158,0.083
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.05,0,0,0,0.160,0.081
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,200,600,0.05,0,0,1,0.085,0.041
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,400,600,0.05,0,0,1,0.181,0.088
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,600,600,0.05,0,0,1,0.178,0.086
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,800,600,0.05,0,0,1,0.322,0.150
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,1000,600,0.05,0,0,1,0.317,0.139
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,1200,600,0.05,0,0,1,0.406,0.151
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,200,600,0.05,0,0,10,0.373,0.289
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,400,600,0.05,0,0,1,0.167,0.071
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,600,600,0.05,0,0,9,0.795,0.541
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,800,600,0.05,0,0,1,0.311,0.130
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,1000,600,0.05,0,0,1,0.331,0.130
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,1200,600,0.05,0,0,1,0.374,0.151
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,200,600,0.05,0,0,11,0.319,0.242
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,400,600,0.05,0,0,10,0.540,0.344
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,600,600,0.05,0,0,1,0.229,0.098
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,800,600,0.05,0,0,1,0.212,0.102
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,1000,600,0.05,0,0,1,0.286,0.122
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,1200,600,0.05,0,0,1,0.330,0.137
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,200,600,0.05,0,0,10,0.189,0.124
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,400,600,0.05,0,0,8,0.349,0.208
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,600,600,0.05,0,0,9,0.513,0.281
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,800,600,0.05,0,0,1,0.256,0.110
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,1000,600,0.05,0,0,1,0.308,0.129
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,1200,600,0.05,0,0,1,0.338,0.138
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,200,600,0.05,0,0,15,0.186,0.107
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,400,600,0.05,0,0,14,0.327,0.168
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,600,600,0.05,0,0,14,0.464,0.224
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,800,600,0.05,0,0,13,0.646,0.295
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,1000,600,0.05,0,0,12,0.820,0.354
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,1200,600,0.05,0,0,13,1.022,0.405
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,200,600,0.05,0,0,6,0.389,0.237
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,400,600,0.05,0,0,1,0.382,0.144
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,600,600,0.05,0,0,1,0.444,0.168
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,800,600,0.05,0,0,1,0.550,0.200
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,1000,600,0.05,0,0,1,0.662,0.207
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,1200,600,0.05,0,0,1,0.778,0.238
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,200,600,0.05,0,0,7,0.380,0.222
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,400,600,0.05,0,0,1,0.336,0.112
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,600,600,0.05,0,0,1,0.398,0.145
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,800,600,0.05,0,0,1,0.354,0.118
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,1000,600,0.05,0,0,1,0.564,0.161
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,1200,600,0.05,0,0,1,0.730,0.180
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,200,600,0.05,0,0,1,0.164,0.063
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,400,600,0.05,0,0,1,0.240,0.074
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,600,600,0.05,0,0,1,0.293,0.096
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,800,600,0.05,0,0,1,0.374,0.123
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,1000,600,0.05,0,0,1,0.476,0.139
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,1200,600,0.05,0,0,1,0.545,0.150
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,200,600,0.05,0,0,1,0.186,0.070
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,400,600,0.05,0,0,1,0.347,0.123
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,600,600,0.05,0,0,1,0.380,0.142
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,800,600,0.05,0,0,1,0.612,0.206
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,1000,600,0.05,0,0,1,0.663,0.212
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,1200,600,0.05,0,0,1,0.827,0.225
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.05,0,0,10,0.404,0.250
